ename,node,var,state,period,value
e2.ec.cwt_Q,e2.ec,cwt,Q,8,0
e2.cwt.ec_Q,e2.cwt,ec,Q,8,0
e2.ice.ec_Q,e2.ice,ec,Q,8,0
e2.ec.ice_Q,e2.ec,ice,Q,8,0
e2.ice.cwt_Q,e2.ice,cwt,Q,8,0
e2.cwt.ice_Q,e2.cwt,ice,Q,8,0
e2.dhwt.loss_Q,e2.dhwt,loss,Q,8,-160
e2.dhwt.storage_Q,e2.dhwt,storage,Q,8,-3728
e2.hhwt.loss_Q,e2.hhwt,loss,Q,8,-1808
e2.hhwt.storage_Q,e2.hhwt,storage,Q,8,-109
e2.ice.storage_Q,e2.ice,storage,Q,8,0
e2.sc.IDN_Q,e2.sc,IDN,Q,8,67305
e2.dhwt.electric_Q,e2.dhwt,electric,Q,8,0
e2.dhw.Demand_Q,e2.dhw,Demand,Q,8,-61500
e2.ct.rejected_Q,e2.ct,rejected,Q,8,0
e2.ahu.Demand_Q,e2.ahu,Demand,Q,8,0
e2.ec.electric_Q,e2.ec,electric,Q,8,0
e2.ec.rejected_Q,e2.ec,rejected,Q,8,0
e2.ec.electric.ice_Q,e2.ec,electric.ice,Q,8,0
e2.dhwt.loss_D,e2.dhwt,loss,D,8,8
e2.hhwt.loss_D,e2.hhwt,loss,D,8,8
e2.dhwt.storage_J,e2.dhwt,storage,J,8,0
e2.hhwt.storage_J,e2.hhwt,storage,J,8,0
e2.ice.storage_J,e2.ice,storage,J,8,-433439999
e2.dhw.dhwt_Q,e2.dhw,dhwt,Q,9,61500
e2.dhwt.dhw_Q,e2.dhwt,dhw,Q,9,-61500
e2.hhwt.dhwt_Q,e2.hhwt,dhwt,Q,9,-61819
e2.dhwt.hhwt_Q,e2.dhwt,hhwt,Q,9,61819
e2.hx.hhwt_Q,e2.hx,hhwt,Q,9,-263999
e2.hhwt.hx_Q,e2.hhwt,hx,Q,9,263999
e2.sc.hx_Q,e2.sc,hx,Q,9,-263999
e2.hx.sc_Q,e2.hx,sc,Q,9,263999
e2.hhwt.ahu_Q,e2.hhwt,ahu,Q,9,-50600
e2.ahu.heat_Q,e2.ahu,heat,Q,9,50600
e2.cwt.ahu_Q,e2.cwt,ahu,Q,9,73799
e2.ahu.cool_Q,e2.ahu,cool,Q,9,-73799
e2.ac.cwt_Q,e2.ac,cwt,Q,9,69906
e2.cwt.ac_Q,e2.cwt,ac,Q,9,-69906
e2.hhwt.ac_Q,e2.hhwt,ac,Q,9,-97093
e2.ac.hhwt_Q,e2.ac,hhwt,Q,9,97093
e2.ct.ac_Q,e2.ct,ac,Q,9,167000
e2.ac.ct_Q,e2.ac,ct,Q,9,-167000
e2.ec.cwt_Q,e2.ec,cwt,Q,9,3893
e2.cwt.ec_Q,e2.cwt,ec,Q,9,-3893
e2.ice.ec_Q,e2.ice,ec,Q,9,-4600
e2.ec.ice_Q,e2.ec,ice,Q,9,4600
e2.ice.cwt_Q,e2.ice,cwt,Q,9,0
e2.cwt.ice_Q,e2.cwt,ice,Q,9,0
e2.dhwt.loss_Q,e2.dhwt,loss,Q,9,-320
e2.dhwt.storage_Q,e2.dhwt,storage,Q,9,0
e2.hhwt.loss_Q,e2.hhwt,loss,Q,9,-1811
e2.hhwt.storage_Q,e2.hhwt,storage,Q,9,-52675
e2.ice.storage_Q,e2.ice,storage,Q,9,4600
